id,order,name,category,imageUrl,url,style,mode,primary_color,secondary_color,cta_color,background_color,implemented,prompt
1,1,SaaS Analytics Dashboard,SaaS,/thumbnails/saas-analytics-dashboard.png,/demo/saas-analytics-dashboard,Glassmorphism + Flat Design,light,#0080FF,#8B00FF,#22C55E,#FFFFFF,true,"Create a modern SaaS analytics dashboard landing page with glassmorphism cards, hero section showcasing real-time data visualization, feature highlights with icons, pricing table, and trust badges. Focus on clarity and professional feel."
2,2,AI Chatbot Platform,AI/Chatbot,/thumbnails/ai-chatbot-platform.png,/demo/ai-chatbot-platform,AI-Native UI + Minimalism,light,#6366F1,#10B981,#6366F1,#F5F5F5,true,"Design a minimal AI chatbot platform landing page with conversational UI preview, streaming text animation demo, feature cards with AI capabilities, integration logos, and a prominent 'Try Now' CTA. Use neutral tones with AI purple accent."
3,3,Luxury E-commerce,E-commerce,/thumbnails/luxury-ecommerce.png,/demo/luxury-ecommerce,Liquid Glass + Glassmorphism,light,#000000,#FFD700,#FFD700,#FFFFFF,true,"Build an elegant luxury e-commerce landing page with liquid glass effects, high-end product showcase, storytelling sections, premium brand values, and exclusive membership CTA. Emphasize sophistication and exclusivity."
4,4,Fintech Crypto Dashboard,Fintech/Crypto,/thumbnails/fintech-crypto.png,/demo/fintech-crypto,Glassmorphism + Dark Mode (OLED),dark,#0080FF,#39FF14,#39FF14,#0A0E27,true,"Create a dark mode fintech/crypto landing page with glassmorphism cards, real-time price charts preview, security features highlight, wallet integration showcase, and trust indicators. Focus on security and modern tech feel."
5,5,Health & Wellness App,Healthcare,/thumbnails/health-wellness.png,/demo/health-wellness,Neumorphism + Soft UI Evolution,light,#87CEEB,#90EE90,#22C55E,#F5F5F5,true,"Design a calming health and wellness app landing page with soft UI elements, neumorphic cards, feature showcase for meditation/fitness tracking, testimonials, and app download CTAs. Use calm, soothing colors."
6,6,Creative Agency Portfolio,Creative,/thumbnails/creative-agency.png,/demo/creative-agency,Brutalism + Motion-Driven,light,#FF0000,#0000FF,#FFFF00,#FFFFFF,true,"Build a bold creative agency portfolio landing page with brutalist elements, motion-driven animations, case study previews, team showcase, and contact form. Emphasize creativity and uniqueness."
7,1,Educational Platform,Education,/thumbnails/educational-platform.png,/demo/educational-platform,Claymorphism + Vibrant & Block-based,light,#FDBCB4,#ADD8E6,#22C55E,#FFFFFF,true,"Create a playful educational platform landing page with claymorphism cards, course catalog preview, progress tracking demo, student testimonials, and enrollment CTA. Use vibrant, engaging colors."
8,8,Real Estate Luxury,Real Estate,/thumbnails/real-estate.png,/demo/real-estate,Glassmorphism + Minimalism,light,#0077B6,#FFD700,#0077B6,#FFFFFF,true,"Design an elegant real estate landing page with glassmorphism property cards, virtual tour preview, featured listings, agent profiles, and contact form. Focus on trust and premium feel."
9,9,Gaming Platform,Gaming,/thumbnails/gaming-platform.png,/demo/gaming-platform,3D & Hyperrealism + Retro-Futurism,dark,#FF006E,#00FFFF,#39FF14,#1A1A2E,true,"Build an immersive gaming platform landing page with 3D elements, retro-futuristic style, game showcase carousel, community features, and download CTA. Use vibrant neon colors on dark background."
10,10,Restaurant & Food,Food & Restaurant,/thumbnails/restaurant-food.png,/demo/restaurant-food,Vibrant & Block-based + Motion-Driven,light,#FF6B35,#8B4513,#FF6B35,#FFFAF0,true,"Create a warm restaurant landing page with vibrant food photography, menu preview, reservation system, chef story section, and location map. Use appetizing warm colors."
